test case,N,n,m,index,Generation (s),Verification (s)
0,1,default,default,default,0.005254,0.0015
0,2,default,default,default,0.005235,0.001431
0,4,default,default,default,0.006187,0.001745
0,8,default,default,default,0.007184,0.001587
0,16,default,default,default,0.007555,0.001845
0,32,default,default,default,0.010209,0.002168
0,64,default,default,default,0.014747,0.002518
0,default,2,default,default,2.43764,0.237283
0,default,4,default,default,2.20734,0.213172
0,default,8,default,default,2.3427,0.240074
0,default,16,default,default,2.44772,0.240545
0,default,32,default,default,2.41349,0.217664
0,default,64,default,default,2.42554,0.263224
0,default,default,1,default,1.29522,0.192823
0,default,default,2,default,1.46636,0.189476
0,default,default,4,default,1.75174,0.206859
0,default,default,8,default,2.47138,0.227682
0,default,default,16,default,4.49809,0.217245
0,default,default,32,default,8.18749,0.252029
0,default,default,64,default,17.8176,0.286936
1,1,default,default,default,0.005312,0.001546
1,2,default,default,default,0.00548,0.001479
1,4,default,default,default,0.00554,0.001483
1,8,default,default,default,0.007034,0.001763
1,16,default,default,default,0.007565,0.002675
1,32,default,default,default,0.017535,0.003624
1,64,default,default,default,0.018722,0.002628
1,default,2,default,default,2.47358,0.209134
1,default,4,default,default,2.24917,0.189557
1,default,8,default,default,2.2985,0.240655
1,default,16,default,default,2.33547,0.228906
1,default,32,default,default,2.48348,0.232533
1,default,64,default,default,2.49262,0.228117
1,default,default,1,default,1.29117,0.188465
1,default,default,2,default,1.4841,0.192118
1,default,default,4,default,1.79343,0.221891
1,default,default,8,default,2.55193,0.241976
1,default,default,16,default,4.30145,0.235185
1,default,default,32,default,8.57039,0.228069
1,default,default,64,default,17.9972,0.269665
2,1,default,default,default,0.005054,0.005081
2,2,default,default,default,0.012995,0.006796
2,4,default,default,default,0.005992,0.005534
2,8,default,default,default,0.006126,0.005557
2,16,default,default,default,0.009728,0.010426
2,32,default,default,default,0.015902,0.008014
2,64,default,default,default,0.013656,0.011339
2,default,2,default,default,1.42429,1.0937
2,default,4,default,default,1.3953,0.870624
2,default,8,default,default,1.40626,1.07997
2,default,16,default,default,1.48945,1.02942
2,default,32,default,default,1.45593,1.07298
2,default,64,default,default,1.68842,1.1831
2,default,default,1,default,0.762641,0.381915
2,default,default,2,default,0.880396,0.452291
2,default,default,4,default,1.09422,0.748112
2,default,default,8,default,1.4174,0.991331
2,default,default,16,default,2.56863,2.15576
2,default,default,32,default,4.99675,4.71492
2,default,default,64,default,11.0816,10.5031
